"appid","max_discount","has_discount","first_discount_date"
"239350",85,TRUE,"2019-06-25"
"241260",85,TRUE,"2019-06-25"
"248610",85,TRUE,"2019-06-25"
"257510",85,TRUE,"2019-06-10"
"265300",85,TRUE,"2019-05-16"
"268870",85,TRUE,"2019-06-25"
"290300",85,TRUE,"2019-06-25"
"2990",85,TRUE,"2019-05-20"
"304730",85,TRUE,"2019-04-24"
"316790",85,TRUE,"2019-06-25"
"337000",85,TRUE,"2019-06-21"
"353640",85,TRUE,"2019-05-16"
"35700",85,TRUE,"2019-05-16"
"35720",85,TRUE,"2019-05-16"
"365450",85,TRUE,"2019-05-09"
"367450",85,TRUE,"2019-06-25"
"378860",85,TRUE,"2019-06-25"
"3830",85,TRUE,"2019-06-25"
"388750",85,TRUE,"2019-04-15"
"391220",85,TRUE,"2019-06-21"
"396750",85,TRUE,"2019-04-08"
"41000",85,TRUE,"2019-06-18"
"418240",85,TRUE,"2019-04-23"
"447040",85,TRUE,"2019-05-27"
"457730",85,TRUE,"2019-06-25"
"465240",85,TRUE,"2019-06-10"
"48000",85,TRUE,"2019-06-03"
"55100",85,TRUE,"2019-05-16"
"555830",85,TRUE,"2019-04-07"
"564310",85,TRUE,"2019-06-18"
"600600",85,TRUE,"2019-04-08"
"618970",85,TRUE,"2019-06-25"
"621830",85,TRUE,"2019-06-25"
"71250",85,TRUE,"2019-06-25"
"7830",85,TRUE,"2019-05-12"
"290790",84,TRUE,"2019-06-25"
"507490",84,TRUE,"2019-06-11"
"521890",84,TRUE,"2019-05-09"
"311860",83,TRUE,"2019-05-28"
"329000",83,TRUE,"2019-05-28"
"344760",83,TRUE,"2019-05-06"
"374320",83,TRUE,"2019-04-29"
"375010",83,TRUE,"2019-04-22"
"421040",83,TRUE,"2019-04-22"
"431560",83,TRUE,"2019-05-17"
"461880",83,TRUE,"2019-04-29"
"463100",83,TRUE,"2019-04-29"
"487270",83,TRUE,"2019-04-07"
"496690",83,TRUE,"2019-04-22"
"507400",83,TRUE,"2019-04-22"
"513510",83,TRUE,"2019-04-22"
"514660",83,TRUE,"2019-04-22"
"539450",83,TRUE,"2019-04-22"
"581100",83,TRUE,"2019-04-29"
"599100",83,TRUE,"2019-05-17"
"310560",82,TRUE,"2019-05-24"
"376730",82,TRUE,"2019-05-06"
"258010",81,TRUE,"2019-06-01"
"454650",81,TRUE,"2019-04-29"
"616560",81,TRUE,"2019-04-07"
"10270",80,TRUE,"2019-06-25"
"10680",80,TRUE,"2019-04-25"
"107200",80,TRUE,"2019-04-09"
"1900",80,TRUE,"2019-05-16"
"200170",80,TRUE,"2019-04-07"
"201790",80,TRUE,"2019-06-25"
"203140",80,TRUE,"2019-05-28"
"203350",80,TRUE,"2019-06-25"
"204340",80,TRUE,"2019-06-18"
"204360",80,TRUE,"2019-06-25"
"205100",80,TRUE,"2019-06-07"
"20540",80,TRUE,"2019-05-07"
"208520",80,TRUE,"2019-04-07"
"210770",80,TRUE,"2019-05-20"
"214730",80,TRUE,"2019-06-25"
"216890",80,TRUE,"2019-05-16"
"217200",80,TRUE,"2019-05-20"
"219990",80,TRUE,"2019-05-16"
"220700",80,TRUE,"2019-04-29"
"22100",80,TRUE,"2019-06-25"
"221260",80,TRUE,"2019-06-25"
"223330",80,TRUE,"2019-06-25"
"225080",80,TRUE,"2019-05-06"
"22600",80,TRUE,"2019-05-20"
"228200",80,TRUE,"2019-05-07"
"228300",80,TRUE,"2019-04-25"
"232010",80,TRUE,"2019-05-20"
"233840",80,TRUE,"2019-05-20"
"234080",80,TRUE,"2019-04-29"
"234140",80,TRUE,"2019-05-16"
"234630",80,TRUE,"2019-06-25"
"235320",80,TRUE,"2019-05-16"
"236690",80,TRUE,"2019-05-16"
"236850",80,TRUE,"2019-05-30"
"237930",80,TRUE,"2019-06-25"
"237990",80,TRUE,"2019-05-16"
"238090",80,TRUE,"2019-04-11"
"238460",80,TRUE,"2019-06-25"
"239070",80,TRUE,"2019-06-25"
"239250",80,TRUE,"2019-04-29"
"241600",80,TRUE,"2019-06-25"
"242860",80,TRUE,"2019-05-30"
"244030",80,TRUE,"2019-05-16"
"244450",80,TRUE,"2019-05-12"
"247000",80,TRUE,"2019-05-16"
"247080",80,TRUE,"2019-06-06"
"248390",80,TRUE,"2019-06-25"
"251060",80,TRUE,"2019-04-27"
"252470",80,TRUE,"2019-04-09"
"253880",80,TRUE,"2019-05-16"
"253920",80,TRUE,"2019-05-16"
"253940",80,TRUE,"2019-05-20"
"254100",80,TRUE,"2019-05-20"
"254200",80,TRUE,"2019-04-08"
"255220",80,TRUE,"2019-05-21"
"255710",80,TRUE,"2019-05-21"
"25900",80,TRUE,"2019-06-25"
"259060",80,TRUE,"2019-04-07"
"261110",80,TRUE,"2019-06-25"
"262280",80,TRUE,"2019-06-25"
"262940",80,TRUE,"2019-06-25"
"263060",80,TRUE,"2019-05-16"
"263560",80,TRUE,"2019-11-27"
"264200",80,TRUE,"2019-04-07"
"270150",80,TRUE,"2019-04-16"
"276810",80,TRUE,"2019-05-16"
"2800",80,TRUE,"2019-06-25"
"280160",80,TRUE,"2019-06-25"
"280220",80,TRUE,"2019-06-25"
